Differenztemperaturlogger wurde am 09.12.2022 um 16:39:26 gestartet.;
Zeitstempel;Sensor 4 - Sensor 2 [°C]
10.12.2022 17:07:26;3,369
10.12.2022 17:09:26;3,369
10.12.2022 17:11:26;3,403
10.12.2022 17:13:26;3,369
10.12.2022 17:15:26;3,437
10.12.2022 17:17:26;3,437
10.12.2022 17:19:26;3,403
10.12.2022 17:21:26;3,47
10.12.2022 17:23:26;3,437
10.12.2022 17:25:26;3,47
10.12.2022 17:27:26;3,47
10.12.2022 17:29:26;3,504
10.12.2022 17:31:26;3,47
10.12.2022 17:33:26;3,504
10.12.2022 17:35:26;3,504
10.12.2022 17:37:26;3,504
10.12.2022 17:39:26;3,503
10.12.2022 17:41:26;3,571
10.12.2022 17:43:26;3,537
10.12.2022 17:45:26;3,537
10.12.2022 17:47:26;3,537
10.12.2022 17:49:26;3,571
10.12.2022 17:51:26;3,537
10.12.2022 17:53:26;3,537
10.12.2022 17:55:26;3,571
10.12.2022 17:57:26;3,571
10.12.2022 17:59:26;3,537
10.12.2022 18:01:26;3,537
10.12.2022 18:03:26;3,605
10.12.2022 18:05:26;3,605
10.12.2022 18:07:26;3,571
10.12.2022 18:09:26;3,537
10.12.2022 18:11:26;3,537
10.12.2022 18:13:26;3,571
10.12.2022 18:15:26;3,605
10.12.2022 18:17:26;3,605
10.12.2022 18:19:26;3,604
10.12.2022 18:21:26;3,605
10.12.2022 18:23:26;3,571
10.12.2022 18:25:26;3,604
10.12.2022 18:27:26;3,604
10.12.2022 18:29:26;3,604
10.12.2022 18:31:26;3,57
10.12.2022 18:33:26;3,604
10.12.2022 18:35:26;3,604
10.12.2022 18:37:26;3,57
10.12.2022 18:39:26;3,604
10.12.2022 18:41:26;3,537
10.12.2022 18:43:26;3,604
10.12.2022 18:45:26;3,604
10.12.2022 18:47:26;3,57
10.12.2022 18:49:26;3,604
10.12.2022 18:51:26;3,604
10.12.2022 18:53:26;3,604
10.12.2022 18:55:26;3,57
10.12.2022 18:57:26;3,537
10.12.2022 18:59:26;3,571
10.12.2022 19:01:26;3,537
10.12.2022 19:03:26;3,537
10.12.2022 19:05:26;3,571
10.12.2022 19:07:26;3,605
10.12.2022 19:09:26;3,605
10.12.2022 19:11:26;3,605
10.12.2022 19:13:26;3,605
10.12.2022 19:15:26;3,605
10.12.2022 19:17:26;3,571
10.12.2022 19:19:26;3,571
10.12.2022 19:21:26;3,571
10.12.2022 19:23:26;3,537
10.12.2022 19:25:26;3,604
10.12.2022 19:27:26;3,638
10.12.2022 19:29:26;3,57
10.12.2022 19:31:26;3,604
